Matthew1:1 アブラハムの子であるダビデの子、イエス・キリストの系図。 
1Corinthians5:6 あなたがたが誇っているのは、よろしくない。あなたがたは、少しのパン種が粉のかたまり全体をふくらませることを、知らないのか。 
1Corinthians5:7 新しい粉のかたまりになるために、古いパン種を取り除きなさい。あなたがたは、事実パン種のない者なのだから。わたしたちの過越の小羊であるキリストは、すでにほふられたのだ。 
1Corinthians5:8 ゆえに、わたしたちは、古いパン種や、また悪意と邪悪とのパン種を用いずに、パン種のはいっていない純粋で真実なパンをもって、祭をしようではないか。 
1Corinthians5:9 わたしは前の手紙で、不品行な者たちと交際してはいけないと書いたが、 
1Corinthians5:10 それは、この世の不品行な者、貪欲な者、略奪をする者、偶像礼拝をする者などと全然交際してはいけないと、言ったのではない。もしそうだとしたら、あなたがたはこの世から出て行かねばならないことになる。 
1Corinthians5:11 しかし、わたしが実際に書いたのは、兄弟と呼ばれる人で、不品行な者、貪欲な者、偶像礼拝をする者、人をそしる者、酒に酔う者、略奪をする者があれば、そんな人と交際をしてはいけない、食事を共にしてもいけない、ということであった。 
1Corinthians5:12 外の人たちをさばくのは、わたしのすることであろうか。あなたがたのさばくべき者は、内の人たちではないか。外の人たちは、神がさばくのである。 
1Corinthians5:13 その悪人を、あなたがたの中から除いてしまいなさい。 
1Corinthians6:1 あなたがたの中のひとりが、仲間の者と何か争いを起した場合、それを聖徒に訴えないで、正しくない者に訴え出るようなことをするのか。 
1Corinthians6:2 それとも、聖徒は世をさばくものであることを、あなたがたは知らないのか。そして、世があなたがたによってさばかれるべきであるのに、きわめて小さい事件でもさばく力がないのか。 
1Corinthians6:3 あなたがたは知らないのか、わたしたちは御使をさえさばく者である。ましてこの世の事件などは、いうまでもないではないか。 
1Corinthians6:4 それだのに、この世の事件が起ると、教会で軽んじられている人たちを、裁判の席につかせるのか。 
1Corinthians6:5 わたしがこう言うのは、あなたがたをはずかしめるためである。いったい、あなたがたの中には、兄弟の間の争いを仲裁することができるほどの知者は、ひとりもいないのか。 
1Corinthians6:6 しかるに、兄弟が兄弟を訴え、しかもそれを不信者の前に持ち出すのか。 
1Corinthians6:7 そもそも、互に訴え合うこと自体が、すでにあなたがたの敗北なのだ。なぜ、むしろ不義を受けないのか。なぜ、むしろだまされていないのか。 
1Corinthians6:8 しかるに、あなたがたは不義を働き、だまし取り、しかも兄弟に対してそうしているのである。 
1Corinthians6:9 それとも、正しくない者が神の国をつぐことはないのを、知らないのか。まちがってはいけない。不品行な者、偶像を礼拝する者、姦淫をする者、男娼となる者、男色をする者、盗む者、 
1Corinthians6:10 貪欲な者、酒に酔う者、そしる者、略奪する者は、いずれも神の国をつぐことはないのである。 
1Corinthians6:11 あなたがたの中には、以前はそんな人もいた。しかし、あなたがたは、主イエス・キリストの名によって、またわたしたちの神の霊によって、洗われ、きよめられ、義とされたのである。 
1Corinthians6:12 すべてのことは、わたしに許されている。しかし、すべてのことが益になるわけではない。すべてのことは、わたしに許されている。しかし、わたしは何ものにも支配されることはない。 
1Corinthians6:13 食物は腹のため、腹は食物のためである。しかし神は、それもこれも滅ぼすであろう。からだは不品行のためではなく、主のためであり、主はからだのためである。 
1Corinthians6:14 そして、神は主をよみがえらせたが、その力で、わたしたちをもよみがえらせて下さるであろう。 
1Corinthians6:15 あなたがたは自分のからだがキリストの肢体であることを、知らないのか。それだのに、キリストの肢体を取って遊女の肢体としてよいのか。断じていけない。 
1Corinthians6:16 それとも、遊女につく者はそれと一つのからだになることを、知らないのか。「ふたりの者は一体となるべきである」とあるからである。 
1Corinthians6:17 しかし主につく者は、主と一つの霊になるのである。 
1Corinthians6:18 不品行を避けなさい。人の犯すすべての罪は、からだの外にある。しかし不品行をする者は、自分のからだに対して罪を犯すのである。 
1Corinthians6:19 あなたがたは知らないのか。自分のからだは、神から受けて自分の内に宿っている聖霊の宮であって、あなたがたは、もはや自分自身のものではないのである。 
1Corinthians6:20 あなたがたは、代価を払って買いとられたのだ。それだから、自分のからだをもって、神の栄光をあらわしなさい。 
1Corinthians7:1 さて、あなたがたが書いてよこした事について答えると、男子は婦人にふれないがよい。 
1Corinthians7:2 しかし、不品行に陥ることのないために、男子はそれぞれ自分の妻を持ち、婦人もそれぞれ自分の夫を持つがよい。 
1Corinthians7:3 夫は妻にその分を果し、妻も同様に夫にその分を果すべきである。 
1Corinthians7:4 妻は自分のからだを自由にすることはできない。それができるのは夫である。夫も同様に自分のからだを自由にすることはできない。それができるのは妻である。 
1Corinthians7:5 互に拒んではいけない。ただし、合意の上で祈に専心するために、しばらく相別れ、それからまた一緒になることは、さしつかえない。そうでないと、自制力のないのに乗じて、サタンがあなたがたを誘惑するかも知れない。 
1Corinthians7:6 以上のことは、譲歩のつもりで言うのであって、命令するのではない。 
1Corinthians7:7 わたしとしては、みんなの者がわたし自身のようになってほしい。しかし、ひとりびとり神からそれぞれの賜物をいただいていて、ある人はこうしており、他の人はそうしている。 
1Corinthians7:8 次に、未婚者たちとやもめたちとに言うが、わたしのように、ひとりでおれば、それがいちばんよい。 
1Corinthians7:9 しかし、もし自制することができないなら、結婚するがよい。情の燃えるよりは、結婚する方が、よいからである。 
1Corinthians7:10 更に、結婚している者たちに命じる。命じるのは、わたしではなく主であるが、妻は夫から別れてはいけない。 
1Corinthians7:11 （しかし、万一別れているなら、結婚しないでいるか、それとも夫と和解するかしなさい）。また夫も妻と離婚してはならない。 
1Corinthians7:12 そのほかの人々に言う。これを言うのは、主ではなく、わたしである。ある兄弟に不信者の妻があり、そして共にいることを喜んでいる場合には、離婚してはいけない。 
1Corinthians7:13 また、ある婦人の夫が不信者であり、そして共にいることを喜んでいる場合には、離婚してはいけない。 
1Corinthians7:14 なぜなら、不信者の夫は妻によってきよめられており、また、不信者の妻も夫によってきよめられているからである。もしそうでなければ、あなたがたの子は汚れていることになるが、実際はきよいではないか。 
1Corinthians7:15 しかし、もし不信者の方が離れて行くのなら、離れるままにしておくがよい。兄弟も姉妹も、こうした場合には、束縛されてはいない。神は、あなたがたを平和に暮させるために、召されたのである。 
1Corinthians7:16 なぜなら、妻よ、あなたが夫を救いうるかどうか、どうしてわかるか。また、夫よ、あなたも妻を救いうるかどうか、どうしてわかるか。 
1Corinthians7:17 ただ、各自は、主から賜わった分に応じ、また神に召されたままの状態にしたがって、歩むべきである。これが、すべての教会に対してわたしの命じるところである。 
1Corinthians7:18 召されたとき割礼を受けていたら、その跡をなくそうとしないがよい。また、召されたとき割礼を受けていなかったら、割礼を受けようとしないがよい。 
1Corinthians7:19 割礼があってもなくても、それは問題ではない。大事なのは、ただ神の戒めを守ることである。 
1Corinthians7:20 各自は、召されたままの状態にとどまっているべきである。 
1Corinthians7:21 召されたとき奴隷であっても、それを気にしないがよい。しかし、もし自由の身になりうるなら、むしろ自由になりなさい。 
1Corinthians7:22 主にあって召された奴隷は、主によって自由人とされた者であり、また、召された自由人はキリストの奴隷なのである。 
1Corinthians7:23 あなたがたは、代価を払って買いとられたのだ。人の奴隷となってはいけない。 
1Corinthians7:24 兄弟たちよ。各自は、その召されたままの状態で、神のみまえにいるべきである。 
1Corinthians7:25 おとめのことについては、わたしは主の命令を受けてはいないが、主のあわれみにより信任を受けている者として、意見を述べよう。 
1Corinthians7:26 わたしはこう考える。現在迫っている危機のゆえに、人は現状にとどまっているがよい。 
1Corinthians7:27 もし妻に結ばれているなら、解こうとするな。妻に結ばれていないなら、妻を迎えようとするな。 
1Corinthians7:28 しかし、たとい結婚しても、罪を犯すのではない。また、おとめが結婚しても、罪を犯すのではない。ただ、それらの人々はその身に苦難を受けるであろう。わたしは、あなたがたを、それからのがれさせたいのだ。 
1Corinthians7:29 兄弟たちよ。わたしの言うことを聞いてほしい。時は縮まっている。今からは妻のある者はないもののように、 
1Corinthians7:30 泣く者は泣かないもののように、喜ぶ者は喜ばないもののように、買う者は持たないもののように、 
1Corinthians7:31 世と交渉のある者は、それに深入りしないようにすべきである。なぜなら、この世の有様は過ぎ去るからである。 
1Corinthians7:32 わたしはあなたがたが、思い煩わないようにしていてほしい。未婚の男子は主のことに心をくばって、どうかして主を喜ばせようとするが、 
1Corinthians7:33 結婚している男子はこの世のことに心をくばって、どうかして妻を喜ばせようとして、その心が分れるのである。 
1Corinthians7:34 未婚の婦人とおとめとは、主のことに心をくばって、身も魂もきよくなろうとするが、結婚した婦人はこの世のことに心をくばって、どうかして夫を喜ばせようとする。 
1Corinthians7:35 わたしがこう言うのは、あなたがたの利益になると思うからであって、あなたがたを束縛するためではない。そうではなく、正しい生活を送って、余念なく主に奉仕させたいからである。 
1Corinthians7:36 もしある人が、相手のおとめに対して、情熱をいだくようになった場合、それは適当でないと思いつつも、やむを得なければ、望みどおりにしてもよい。それは罪を犯すことではない。ふたりは結婚するがよい。 
1Corinthians7:37 しかし、彼が心の内で堅く決心していて、無理をしないで自分の思いを制することができ、その上で、相手のおとめをそのままにしておこうと、心の中で決めたなら、そうしてもよい。 
1Corinthians7:38 だから、相手のおとめと結婚することはさしつかえないが、結婚しない方がもっとよい。 
1Corinthians7:39 妻は夫が生きている間は、その夫につながれている。夫が死ねば、望む人と結婚してもさしつかえないが、それは主にある者とに限る。 
1Corinthians7:40 しかし、わたしの意見では、そのままでいたなら、もっと幸福である。わたしも神の霊を受けていると思う。 
1Corinthians8:1 偶像への供え物について答えると、「わたしたちはみな知識を持っている」ことは、わかっている。しかし、知識は人を誇らせ、愛は人の徳を高める。 
1Corinthians8:2 もし人が、自分は何か知っていると思うなら、その人は、知らなければならないほどの事すら、まだ知っていない。 
1Corinthians8:3 しかし、人が神を愛するなら、その人は神に知られているのである。 
1Corinthians8:4 さて、偶像への供え物を食べることについては、わたしたちは、偶像なるものは実際は世に存在しないこと、また、唯一の神のほかには神がないことを、知っている。 
1Corinthians8:5 というのは、たとい神々といわれるものが、あるいは天に、あるいは地にあるとしても、そして、多くの神、多くの主があるようではあるが、 
1Corinthians8:6 わたしたちには、父なる唯一の神のみがいますのである。万物はこの神から出て、わたしたちもこの神に帰する。また、唯一の主イエス・キリストのみがいますのである。万物はこの主により、わたしたちもこの主によっている。 
1Corinthians8:7 しかし、この知識をすべての人が持っているのではない。ある人々は、偶像についての、これまでの習慣上、偶像への供え物として、それを食べるが、彼らの良心が、弱いために汚されるのである。 
1Corinthians8:8 食物は、わたしたちを神に導くものではない。食べなくても損はないし、食べても益にはならない。 
1Corinthians8:9 しかし、あなたがたのこの自由が、弱い者たちのつまずきにならないように、気をつけなさい。 
1Corinthians8:10 なぜなら、ある人が、知識のあるあなたが偶像の宮で食事をしているのを見た場合、その人の良心が弱いため、それに「教育されて」、偶像への供え物を食べるようにならないだろうか。 
1Corinthians8:11 するとその弱い人は、あなたの知識によって滅びることになる。この弱い兄弟のためにも、キリストは死なれたのである。 
1Corinthians8:12 このようにあなたがたが、兄弟たちに対して罪を犯し、その弱い良心を痛めるのは、キリストに対して罪を犯すことなのである。 
1Corinthians8:13 だから、もし食物がわたしの兄弟をつまずかせるなら、兄弟をつまずかせないために、わたしは永久に、断じて肉を食べることはしない。 
1Corinthians9:1 わたしは自由な者ではないか。使徒ではないか。わたしたちの主イエスを見たではないか。あなたがたは、主にあるわたしの働きの実ではないか。 
1Corinthians9:2 わたしは、ほかの人に対しては使徒でないとしても、あなたがたには使徒である。あなたがたが主にあることは、わたしの使徒職の印なのである。 
1Corinthians9:3 わたしの批判者たちに対する弁明は、これである。 
1Corinthians9:4 わたしたちには、飲み食いをする権利がないのか。 
1Corinthians9:5 わたしたちには、ほかの使徒たちや主の兄弟たちやケパのように、信者である妻を連れて歩く権利がないのか。 
1Corinthians9:6 それとも、わたしとバルナバとだけには、労働をせずにいる権利がないのか。 
1Corinthians9:7 いったい、自分で費用を出して軍隊に加わる者があろうか。ぶどう畑を作っていて、その実を食べない者があろうか。また、羊を飼っていて、その乳を飲まない者があろうか。 
1Corinthians9:8 わたしは、人間の考えでこう言うのではない。律法もまた、そのように言っているではないか。 
1Corinthians9:9 すなわち、モーセの律法に、「穀物をこなしている牛に、くつこをかけてはならない」と書いてある。神は、牛のことを心にかけておられるのだろうか。 
1Corinthians9:10 それとも、もっぱら、わたしたちのために言っておられるのか。もちろん、それはわたしたちのためにしるされたのである。すなわち、耕す者は望みをもって耕し、穀物をこなす者は、その分け前をもらう望みをもってこなすのである。 
1Corinthians9:11 もしわたしたちが、あなたがたのために霊のものをまいたのなら、肉のものをあなたがたから刈りとるのは、行き過ぎだろうか。 
1Corinthians9:12 もしほかの人々が、あなたがたに対するこの権利にあずかっているとすれば、わたしたちはなおさらのことではないか。しかしわたしたちは、この権利を利用せず、かえってキリストの福音の妨げにならないようにと、すべてのことを忍んでいる。 
1Corinthians9:13 あなたがたは、宮仕えをしている人たちは宮から下がる物を食べ、祭壇に奉仕している人たちは祭壇の供え物の分け前にあずかることを、知らないのか。 
1Corinthians9:14 それと同様に、主は、福音を宣べ伝えている者たちが福音によって生活すべきことを、定められたのである。 
1Corinthians9:15 しかしわたしは、これらの権利を一つも利用しなかった。また、自分がそうしてもらいたいから、このように書くのではない。そうされるよりは、死ぬ方がましである。わたしのこの誇は、何者にも奪い去られてはならないのだ。 
1Corinthians9:16 わたしが福音を宣べ伝えても、それは誇にはならない。なぜなら、わたしは、そうせずにはおれないからである。もし福音を宣べ伝えないなら、わたしはわざわいである。 
1Corinthians9:17 進んでそれをすれば、報酬を受けるであろう。しかし、進んでしないとしても、それは、わたしにゆだねられた務なのである。 
1Corinthians9:18 それでは、その報酬はなんであるか。福音を宣べ伝えるのにそれを無代価で提供し、わたしが宣教者として持つ権利を利用しないことである。 
1Corinthians9:19 わたしは、すべての人に対して自由であるが、できるだけ多くの人を得るために、自ら進んですべての人の奴隷になった。 
1Corinthians9:20 ユダヤ人には、ユダヤ人のようになった。ユダヤ人を得るためである。律法の下にある人には、わたし自身は律法の下にはないが、律法の下にある者のようになった。律法の下にある人を得るためである。 
1Corinthians9:21 律法のない人には――わたしは神の律法の外にあるのではなく、キリストの律法の中にあるのだが――律法のない人のようになった。律法のない人を得るためである。 
1Corinthians9:22 弱い人には弱い者になった。弱い人を得るためである。すべての人に対しては、すべての人のようになった。なんとかして幾人かを救うためである。 
1Corinthians9:23 福音のために、わたしはどんな事でもする。わたしも共に福音にあずかるためである。 
1Corinthians9:24 あなたがたは知らないのか。競技場で走る者は、みな走りはするが、賞を得る者はひとりだけである。あなたがたも、賞を得るように走りなさい。 
1Corinthians9:25 しかし、すべて競技をする者は、何ごとにも節制をする。彼らは朽ちる冠を得るためにそうするが、わたしたちは朽ちない冠を得るためにそうするのである。 
1Corinthians9:26 そこで、わたしは目標のはっきりしないような走り方をせず、空を打つような拳闘はしない。 
1Corinthians9:27 すなわち、自分のからだを打ちたたいて服従させるのである。そうしないと、ほかの人に宣べ伝えておきながら、自分は失格者になるかも知れない。 
1Corinthians10:1 兄弟たちよ。このことを知らずにいてもらいたくない。わたしたちの先祖はみな雲の下におり、みな海を通り、 
1Corinthians10:2 みな雲の中、海の中で、モーセにつくバプテスマを受けた。 
1Corinthians10:3 また、みな同じ霊の食物を食べ、 
1Corinthians10:4 みな同じ霊の飲み物を飲んだ。すなわち、彼らについてきた霊の岩から飲んだのであるが、この岩はキリストにほかならない。 
1Corinthians10:5 しかし、彼らの中の大多数は、神のみこころにかなわなかったので、荒野で滅ぼされてしまった。 
1Corinthians10:6 これらの出来事は、わたしたちに対する警告であって、彼らが悪をむさぼったように、わたしたちも悪をむさぼることのないためなのである。 
1Corinthians10:7 だから、彼らの中のある者たちのように、偶像礼拝者になってはならない。すなわち、「民は座して飲み食いをし、また立って踊り戯れた」と書いてある。 
1Corinthians10:8 また、ある者たちがしたように、わたしたちは不品行をしてはならない。不品行をしたため倒された者が、一日に二万三千人もあった。 
1Corinthians10:9 また、ある者たちがしたように、わたしたちは主を試みてはならない。主を試みた者は、へびに殺された。 
1Corinthians10:10 また、ある者たちがつぶやいたように、つぶやいてはならない。つぶやいた者は、「死の使」に滅ぼされた。 
1Corinthians10:11 これらの事が彼らに起ったのは、他に対する警告としてであって、それが書かれたのは、世の終りに臨んでいるわたしたちに対する訓戒のためである。 
1Corinthians10:12 だから、立っていると思う者は、倒れないように気をつけるがよい。 
1Corinthians10:13 あなたがたの会った試錬で、世の常でないものはない。神は真実である。あなたがたを耐えられないような試錬に会わせることはないばかりか、試錬と同時に、それに耐えられるように、のがれる道も備えて下さるのである。 
1Corinthians10:14 それだから、愛する者たちよ。偶像礼拝を避けなさい。 
1Corinthians10:15 賢明なあなたがたに訴える。わたしの言うことを、自ら判断してみるがよい。 
1Corinthians10:16 わたしたちが祝福する祝福の杯、それはキリストの血にあずかることではないか。わたしたちがさくパン、それはキリストのからだにあずかることではないか。 
1Corinthians10:17 パンが一つであるから、わたしたちは多くいても、一つのからだなのである。みんなの者が一つのパンを共にいただくからである。 
1Corinthians10:18 肉によるイスラエルを見るがよい。供え物を食べる人たちは、祭壇にあずかるのではないか。 
1Corinthians10:19 すると、なんと言ったらよいか。偶像にささげる供え物は、何か意味があるのか。また、偶像は何かほんとうにあるものか。 
1Corinthians10:20 そうではない。人々が供える物は、悪霊ども、すなわち、神ならぬ者に供えるのである。わたしは、あなたがたが悪霊の仲間になることを望まない。 
1Corinthians10:21 主の杯と悪霊どもの杯とを、同時に飲むことはできない。主の食卓と悪霊どもの食卓とに、同時にあずかることはできない。 
1Corinthians10:22 それとも、わたしたちは主のねたみを起そうとするのか。わたしたちは、主よりも強いのだろうか。 
1Corinthians10:23 すべてのことは許されている。しかし、すべてのことが益になるわけではない。すべてのことは許されている。しかし、すべてのことが人の徳を高めるのではない。 
1Corinthians10:24 だれでも、自分の益を求めないで、ほかの人の益を求めるべきである。 
1Corinthians10:25 すべて市場で売られている物は、いちいち良心に問うことをしないで、食べるがよい。 
1Corinthians10:26 地とそれに満ちている物とは、主のものだからである。 
1Corinthians10:27 もしあなたがたが、不信者のだれかに招かれて、そこに行こうと思う場合、自分の前に出される物はなんでも、いちいち良心に問うことをしないで、食べるがよい。 
1Corinthians10:28 しかし、だれかがあなたがたに、これはささげ物の肉だと言ったなら、それを知らせてくれた人のために、また良心のために、食べないがよい。 
1Corinthians10:29 良心と言ったのは、自分の良心ではなく、他人の良心のことである。なぜなら、わたしの自由が、どうして他人の良心によって左右されることがあろうか。 
1Corinthians10:30 もしわたしが感謝して食べる場合、その感謝する物について、どうして人のそしりを受けるわけがあろうか。 
1Corinthians10:31 だから、飲むにも食べるにも、また何事をするにも、すべて神の栄光のためにすべきである。 
1Corinthians10:32 ユダヤ人にもギリシヤ人にも神の教会にも、つまずきになってはいけない。 
1Corinthians10:33 わたしもまた、何事にもすべての人に喜ばれるように努め、多くの人が救われるために、自分の益ではなく彼らの益を求めている。 
1Corinthians11:1 わたしがキリストにならう者であるように、あなたがたもわたしにならう者になりなさい。 
1Corinthians11:2 あなたがたが、何かにつけわたしを覚えていて、あなたがたに伝えたとおりに言伝えを守っているので、わたしは満足に思う。 
1Corinthians11:3 しかし、あなたがたに知っていてもらいたい。すべての男のかしらはキリストであり、女のかしらは男であり、キリストのかしらは神である。 
1Corinthians11:4 祈をしたり預言をしたりする時、かしらに物をかぶる男は、そのかしらをはずかしめる者である。 
1Corinthians11:5 祈をしたり預言をしたりする時、かしらにおおいをかけない女は、そのかしらをはずかしめる者である。それは、髪をそったのとまったく同じだからである。 
1Corinthians11:6 もし女がおおいをかけないなら、髪を切ってしまうがよい。髪を切ったりそったりするのが、女にとって恥ずべきことであるなら、おおいをかけるべきである。 
1Corinthians11:7 男は、神のかたちであり栄光であるから、かしらに物をかぶるべきではない。女は、また男の光栄である。 
1Corinthians11:8 なぜなら、男が女から出たのではなく、女が男から出たのだからである。 
1Corinthians11:9 また、男は女のために造られたのではなく、女が男のために造られたのである。 
1Corinthians11:10 それだから、女は、かしらに権威のしるしをかぶるべきである。それは天使たちのためでもある。 
1Corinthians11:11 ただ、主にあっては、男なしには女はないし、女なしには男はない。 
1Corinthians11:12 それは、女が男から出たように、男もまた女から生れたからである。そして、すべてのものは神から出たのである。 
1Corinthians11:13 あなたがた自身で判断してみるがよい。女がおおいをかけずに神に祈るのは、ふさわしいことだろうか。 
1Corinthians11:14 自然そのものが教えているではないか。男に長い髪があれば彼の恥になり、 
1Corinthians11:15 女に長い髪があれば彼女の光栄になるのである。長い髪はおおいの代りに女に与えられているものだからである。 
1Corinthians11:16 しかし、だれかがそれに反対の意見を持っていても、そんな風習はわたしたちにはなく、神の諸教会にもない。 
1Corinthians11:17 ところで、次のことを命じるについては、あなたがたをほめるわけにはいかない。というのは、あなたがたの集まりが利益にならないで、かえって損失になっているからである。 
1Corinthians11:18 まず、あなたがたが教会に集まる時、お互の間に分争があることを、わたしは耳にしており、そしていくぶんか、それを信じている。 
1Corinthians11:19 たしかに、あなたがたの中でほんとうの者が明らかにされるためには、分派もなければなるまい。 
1Corinthians11:20 そこで、あなたがたが一緒に集まるとき、主の晩餐を守ることができないでいる。 
1Corinthians11:21 というのは、食事の際、各自が自分の晩餐をかってに先に食べるので、飢えている人があるかと思えば、酔っている人がある始末である。 
1Corinthians11:22 あなたがたには、飲み食いをする家がないのか。それとも、神の教会を軽んじ、貧しい人々をはずかしめるのか。わたしはあなたがたに対して、なんと言おうか。あなたがたを、ほめようか。この事では、ほめるわけにはいかない。 
1Corinthians11:23 わたしは、主から受けたことを、また、あなたがたに伝えたのである。すなわち、主イエスは、渡される夜、パンをとり、 
1Corinthians11:24 感謝してこれをさき、そして言われた、「これはあなたがたのための、わたしのからだである。わたしを記念するため、このように行いなさい」。 
1Corinthians11:25 食事ののち、杯をも同じようにして言われた、「この杯は、わたしの血による新しい契約である。飲むたびに、わたしの記念として、このように行いなさい」。 
1Corinthians11:26 だから、あなたがたは、このパンを食し、この杯を飲むごとに、それによって、主がこられる時に至るまで、主の死を告げ知らせるのである。 
1Corinthians11:27 だから、ふさわしくないままでパンを食し主の杯を飲む者は、主のからだと血とを犯すのである。 
1Corinthians11:28 だれでもまず自分を吟味し、それからパンを食べ杯を飲むべきである。 
1Corinthians11:29 主のからだをわきまえないで飲み食いする者は、その飲み食いによって自分にさばきを招くからである。 
1Corinthians11:30 あなたがたの中に、弱い者や病人が大ぜいおり、また眠った者も少なくないのは、そのためである。 
1Corinthians11:31 しかし、自分をよくわきまえておくならば、わたしたちはさばかれることはないであろう。 
1Corinthians11:32 しかし、さばかれるとすれば、それは、この世と共に罪に定められないために、主の懲らしめを受けることなのである。 
1Corinthians11:33 それだから、兄弟たちよ。食事のために集まる時には、互に待ち合わせなさい。 
1Corinthians11:34 もし空腹であったら、さばきを受けに集まることにならないため、家で食べるがよい。そのほかの事は、わたしが行った時に、定めることにしよう。 
1Corinthians12:1 兄弟たちよ。霊の賜物については、次のことを知らずにいてもらいたくない。 
1Corinthians12:2 あなたがたがまだ異邦人であった時、誘われるまま、物の言えない偶像のところに引かれて行ったことは、あなたがたの承知しているとおりである。 
1Corinthians12:3 そこで、あなたがたに言っておくが、神の霊によって語る者はだれも「イエスはのろわれよ」とは言わないし、また、聖霊によらなければ、だれも「イエスは主である」と言うことができない。 
1Corinthians12:4 霊の賜物は種々あるが、御霊は同じである。 
1Corinthians12:5 務は種々あるが、主は同じである。 
1Corinthians12:6 働きは種々あるが、すべてのものの中に働いてすべてのことをなさる神は、同じである。 
1Corinthians12:7 各自が御霊の現れを賜わっているのは、全体の益になるためである。 
1Corinthians12:8 すなわち、ある人には御霊によって知恵の言葉が与えられ、ほかの人には、同じ御霊によって知識の言、 
1Corinthians12:9 またほかの人には、同じ御霊によって信仰、またほかの人には、一つの御霊によっていやしの賜物、 
1Corinthians12:10 またほかの人には力あるわざ、またほかの人には預言、またほかの人には霊を見わける力、またほかの人には種々の異言、またほかの人には異言を解く力が、与えられている。 
1Corinthians12:11 すべてこれらのものは、一つの同じ御霊の働きであって、御霊は思いのままに、それらを各自に分け与えられるのである。 
1Corinthians12:12 からだが一つであっても肢体は多くあり、また、からだのすべての肢体が多くあっても、からだは一つであるように、キリストの場合も同様である。 
1Corinthians12:13 なぜなら、わたしたちは皆、ユダヤ人もギリシヤ人も、奴隷も自由人も、一つの御霊によって、一つのからだとなるようにバプテスマを受け、そして皆一つの御霊を飲んだからである。 
1Corinthians12:14 実際、からだは一つの肢体だけではなく、多くのものからできている。 
1Corinthians12:15 もし足が、わたしは手ではないから、からだに属していないと言っても、それで、からだに属さないわけではない。 
1Corinthians12:16 また、もし耳が、わたしは目ではないから、からだに属していないと言っても、それで、からだに属さないわけではない。 
1Corinthians12:17 もしからだ全体が目だとすれば、どこで聞くのか。もし、からだ全体が耳だとすれば、どこでかぐのか。 
1Corinthians12:18 そこで神は御旨のままに、肢体をそれぞれ、からだに備えられたのである。 
1Corinthians12:19 もし、すべてのものが一つの肢体なら、どこにからだがあるのか。 
1Corinthians12:20 ところが実際、肢体は多くあるが、からだは一つなのである。 
1Corinthians12:21 目は手にむかって、「おまえはいらない」とは言えず、また頭は足にむかって、「おまえはいらない」とも言えない。 
1Corinthians12:22 そうではなく、むしろ、からだのうちで他よりも弱く見える肢体が、かえって必要なのであり、 
1Corinthians12:23 からだのうちで、他よりも見劣りがすると思えるところに、ものを着せていっそう見よくする。麗しくない部分はいっそう麗しくするが、 
1Corinthians12:24 麗しい部分はそうする必要がない。神は劣っている部分をいっそう見よくして、からだに調和をお与えになったのである。 
1Corinthians12:25 それは、からだの中に分裂がなく、それぞれの肢体が互にいたわり合うためなのである。 
1Corinthians12:26 もし一つの肢体が悩めば、ほかの肢体もみな共に悩み、一つの肢体が尊ばれると、ほかの肢体もみな共に喜ぶ。 
1Corinthians12:27 あなたがたはキリストのからだであり、ひとりびとりはその肢体である。 
1Corinthians12:28 そして、神は教会の中で、人々を立てて、第一に使徒、第二に預言者、第三に教師とし、次に力あるわざを行う者、次にいやしの賜物を持つ者、また補助者、管理者、種々の異言を語る者をおかれた。 
1Corinthians12:29 みんなが使徒だろうか。みんなが預言者だろうか。みんなが教師だろうか。みんなが力あるわざを行う者だろうか。 
1Corinthians12:30 みんながいやしの賜物を持っているのだろうか。みんなが異言を語るのだろうか。みんなが異言を解くのだろうか。 
1Corinthians12:31 だが、あなたがたは、更に大いなる賜物を得ようと熱心に努めなさい。そこで、わたしは最もすぐれた道をあなたがたに示そう。 
1Corinthians13:1 たといわたしが、人々の言葉や御使たちの言葉を語っても、もし愛がなければ、わたしは、やかましい鐘や騒がしい鐃鉢と同じである。 
1Corinthians13:2 たといまた、わたしに預言をする力があり、あらゆる奥義とあらゆる知識とに通じていても、また、山を移すほどの強い信仰があっても、もし愛がなければ、わたしは無に等しい。 
1Corinthians13:3 たといまた、わたしが自分の全財産を人に施しても、また、自分のからだを焼かれるために渡しても、もし愛がなければ、いっさいは無益である。 
1Corinthians13:4 愛は寛容であり、愛は情深い。また、ねたむことをしない。愛は高ぶらない、誇らない。 
1Corinthians13:5 不作法をしない、自分の利益を求めない、いらだたない、恨みをいだかない。 
1Corinthians13:6 不義を喜ばないで真理を喜ぶ。 
1Corinthians13:7 そして、すべてを忍び、すべてを信じ、すべてを望み、すべてを耐える。 
1Corinthians13:8 愛はいつまでも絶えることがない。しかし、預言はすたれ、異言はやみ、知識はすたれるであろう。 
1Corinthians13:9 なぜなら、わたしたちの知るところは一部分であり、預言するところも一部分にすぎない。 
1Corinthians13:10 全きものが来る時には、部分的なものはすたれる。 
1Corinthians13:11 わたしたちが幼な子であった時には、幼な子らしく語り、幼な子らしく感じ、また、幼な子らしく考えていた。しかし、おとなとなった今は、幼な子らしいことを捨ててしまった。 
